18200	109550
18200	109583.3333
18206.3889	109581.9444
18207.5	109477.7778
18215.8333	109700.5556
18216.6667	109700
18220.5556	109510.2778
18223.8889	109552.2222
18229.7222	109528.3333
18233.3333	109533.3333
18233.3333	109616.6667
18233.8889	109703.8889
18236.6667	109625
18243.0556	109505
18243.6111	109690.2778
18245.2778	109373.8889
18246.6667	109559.7222
18250	109516.6667
18250	109583.3333
18257.7778	109689.4444
18260.5556	109712.7778
18263.0556	109580.8333
18263.0556	109679.7222
18265	109638.6111
18266.6667	109483.3333
18266.6667	109566.6667
18266.6667	109666.6667
18271.3889	109705.8333
18278.3333	109730.2778
18279.4444	109675.2778
18281.1111	109480.8333
18281.3889	109684.1667
18283.3333	109400
18283.8889	109569.7222
18283.8889	109705.5556
18284.4444	109661.6667
18296.9444	109611.6667
18302.2222	109210
18303.8889	109432.2222
18304.1667	109528.3333
18304.4444	109335.2778
18304.4444	109391.1111
18307.2222	109144.1667
18314.7222	109269.7222
18315.2778	109626.6667
18316.6667	109166.6667
18316.6667	109266.6667
18317.2222	109331.6667
18319.1667	109442.2222
18319.7222	109705
18320.2778	109173.6111
18321.6667	109551.1111
18325	109673.3333
18325.8333	109528.3333
18327.2222	109256.3889
18327.7778	109247.5
18332.5	109490.2778
18333.3333	109450
18335.2778	109323.0556
18336.1111	109731.3889
18344.7222	109452.2222
18347.2222	109638.8889
18347.7778	109203.3333
18347.7778	109587.7778
18349.1667	109440.8333
18351.3889	109725.8333
18351.3889	109726.6667
18355.5556	109627.2222
18356.1111	109126.6667
18358.6111	109126.3889
18359.1667	108988.6111
18362.7778	109602.2222
18370.5556	109099.7222
18370.8333	109005.5556
18371.6667	109508.8889
18372.7778	109163.6111
18374.7222	109244.4444
18375.5556	109162.2222
18376.1111	109035.2778
18378.0556	109603.3333
18378.0556	109742.5
18378.6111	109641.6667
18388.3333	109824.7222
18392.2222	109725
18393.6111	109430.8333
18397.7778	109987.5
18398.6111	109496.3889
18400	109730.2778
18400	109750
18400.8333	109202.7778
18402.2222	109283.0556
18403.6111	109020.8333
18403.6111	109868.8889
18404.7222	110018.6111
18406.6667	109616.6667
18408.6111	109758.3333
18409.4444	109676.3889
18414.1667	110070.2778
18415.8333	108933.8889
18415.8333	109725
